goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkContainsHit/Stable/128-8          	220108652	         5.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/128-8          	220228878	         5.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/128-8          	220164667	         5.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/128-8          	220089780	         5.453 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/1024-8            	228525541	         5.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/1024-8            	228109885	         5.250 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/1024-8            	228158515	         5.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/1024-8            	228901045	         5.245 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/1024-8            	229133240	         5.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/1024-8         	229100522	         5.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/1024-8         	229427848	         5.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/1024-8         	229711324	         5.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/1024-8         	224987484	         5.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/1024-8         	229120772	         5.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/1024-8         	219361567	         5.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/1024-8         	219320722	         5.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/1024-8         	219497421	         5.464 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/1024-8         	219835479	         5.446 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/1024-8         	220260458	         5.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/10000-8           	229148536	         5.225 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/10000-8           	229686903	         5.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/10000-8           	228548301	         5.254 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/10000-8           	229214940	         5.282 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/10000-8           	228474943	         5.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/10000-8        	228900681	         5.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/10000-8        	229508460	         5.233 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/10000-8        	228990680	         5.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/10000-8        	228391705	         5.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/10000-8        	228747472	         5.241 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/10000-8        	218281383	         5.484 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/10000-8        	217417824	         5.476 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/10000-8        	218436627	         5.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/10000-8        	218963784	         5.471 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/10000-8        	219284068	         5.463 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/8-8              	233992609	         5.118 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/8-8              	234586620	         5.108 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/8-8              	234832930	         5.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsMiss/Set/8-8              	233710498	         5.118 ns/op	       0 B/op	       0 allocs/op
